sample	contig	qlen	HumGut_name	ref	sstart	send	host_genus	host_species
B1_6_months	k141_11970	16044	HumGut_30346	kraken:taxid|3030346|HumGut_30346_1	1292630	1276609	Campylobacter	Campylobacter concisus
B1_6_months	k141_11970	16044	HumGut_30398	kraken:taxid|3030398|HumGut_30398_1	178115	162094	Campylobacter	Campylobacter concisus
B1_6_months	k141_11970	16044	HumGut_30428	kraken:taxid|3030428|HumGut_30428_1	1523295	1507266	Campylobacter	Campylobacter concisus
B1_6_months	k141_11970	16044	HumGut_30529	kraken:taxid|3030529|HumGut_30529_1	222745	206693	Campylobacter	Campylobacter concisus
B1_6_months	k141_11970	16044	HumGut_30530	kraken:taxid|3030530|HumGut_30530_1	1365003	1348961	Campylobacter	Campylobacter concisus
B1_6_months	k141_15171_phage137_3_14367_19_0.78	14365	HumGut_26134	kraken:taxid|3026134|HumGut_26134_1	456694	470496	Campylobacter	Campylobacter concisus
B1_6_months	k141_15171_phage137_3_14367_19_0.78	14365	HumGut_26332	kraken:taxid|3026332|HumGut_26332_1	1666002	1679771	Campylobacter	Campylobacter concisus
B1_6_months	k141_15171_phage137_3_14367_19_0.78	14365	HumGut_27037	kraken:taxid|3027037|HumGut_27037_1	352432	338689	Campylobacter	Campylobacter concisus
B1_6_months	k141_15171_phage137_3_14367_19_0.78	14365	HumGut_27652	kraken:taxid|3027652|HumGut_27652_1	1159007	1145295	Campylobacter	Campylobacter concisus
B1_6_months	k141_15171_phage137_3_14367_19_0.78	14365	HumGut_29370	kraken:taxid|3029370|HumGut_29370_1	1617527	1631362	Campylobacter	Campylobacter concisus
B1_6_months	k141_15171_phage137_3_14367_19_0.78	14365	HumGut_29436	kraken:taxid|3029436|HumGut_29436_1	581627	567879	Campylobacter	Campylobacter concisus
B1_6_months	k141_15171_phage137_3_14367_19_0.78	14365	HumGut_29437	kraken:taxid|3029437|HumGut_29437_1	51690	65403	Campylobacter	Campylobacter concisus
B1_6_months	k141_15171_phage137_3_14367_19_0.78	14365	HumGut_29566	kraken:taxid|3029566|HumGut_29566_1	1486981	1500680	Campylobacter	Campylobacter concisus
B1_6_months	k141_15171_phage137_3_14367_19_0.78	14365	HumGut_29567	kraken:taxid|3029567|HumGut_29567_1	1231115	1217384	Campylobacter	Campylobacter concisus
B1_6_months	k141_15171_phage137_3_14367_19_0.78	14365	HumGut_29615	kraken:taxid|3029615|HumGut_29615_1	513686	527562	Campylobacter	Campylobacter concisus
B1_6_months	k141_15171_phage137_3_14367_19_0.78	14365	HumGut_29647	kraken:taxid|3029647|HumGut_29647_1	619213	605510	Campylobacter	Campylobacter concisus
B1_6_months	k141_15171_phage137_3_14367_19_0.78	14365	HumGut_29708	kraken:taxid|3029708|HumGut_29708_1	36912	23203	Campylobacter	Campylobacter concisus
B1_6_months	k141_15171_phage137_3_14367_19_0.78	14365	HumGut_29748	kraken:taxid|3029748|HumGut_29748_1	340644	354438	Campylobacter	Campylobacter concisus
B1_6_months	k141_15171_phage137_3_14367_19_0.78	14365	HumGut_29801	kraken:taxid|3029801|HumGut_29801_1	1258402	1272318	Campylobacter	Campylobacter concisus
B1_6_months	k141_15171_phage137_3_14367_19_0.78	14365	HumGut_29828	kraken:taxid|3029828|HumGut_29828_1	1368003	1382276	Campylobacter	Campylobacter concisus
B1_6_months	k141_15171_phage137_3_14367_19_0.78	14365	HumGut_29863	kraken:taxid|3029863|HumGut_29863_1	1103813	1090107	Campylobacter	Campylobacter concisus
B1_6_months	k141_15171_phage137_3_14367_19_0.78	14365	HumGut_29865	kraken:taxid|3029865|HumGut_29865_1	1831501	1845417	Campylobacter	Campylobacter concisus
B1_6_months	k141_15171_phage137_3_14367_19_0.78	14365	HumGut_29877	kraken:taxid|3029877|HumGut_29877_1	39557	53270	Campylobacter	Campylobacter concisus
B1_6_months	k141_15171_phage137_3_14367_19_0.78	14365	HumGut_29898	kraken:taxid|3029898|HumGut_29898_1	1629134	1615459	Campylobacter	Campylobacter concisus
B1_6_months	k141_15171_phage137_3_14367_19_0.78	14365	HumGut_29910	kraken:taxid|3029910|HumGut_29910_1	1719515	1733372	Campylobacter	Campylobacter mucosalis
B1_6_months	k141_15171_phage137_3_14367_19_0.78	14365	HumGut_29963	kraken:taxid|3029963|HumGut_29963_1	87217	73353	Campylobacter	Campylobacter concisus
B1_6_months	k141_15171_phage137_3_14367_19_0.78	14365	HumGut_29989	kraken:taxid|3029989|HumGut_29989_1	1834679	1848568	Campylobacter	Campylobacter concisus
B1_6_months	k141_15171_phage137_3_14367_19_0.78	14365	HumGut_30001	kraken:taxid|3030001|HumGut_30001_1	1662972	1649153	Campylobacter	Campylobacter concisus
B1_6_months	k141_15171_phage137_3_14367_19_0.78	14365	HumGut_30013	kraken:taxid|3030013|HumGut_30013_1	1442120	1456464	Campylobacter	Campylobacter concisus
B1_6_months	k141_15171_phage137_3_14367_19_0.78	14365	HumGut_30014	kraken:taxid|3030014|HumGut_30014_1	902156	916068	Campylobacter	Campylobacter concisus
B1_6_months	k141_15171_phage137_3_14367_19_0.78	14365	HumGut_30024	kraken:taxid|3030024|HumGut_30024_1	1621612	1635341	Campylobacter	Campylobacter concisus
B1_6_months	k141_15171_phage137_3_14367_19_0.78	14365	HumGut_30057	kraken:taxid|3030057|HumGut_30057_1	927134	940927	Campylobacter	Campylobacter concisus
B1_6_months	k141_15171_phage137_3_14367_19_0.78	14365	HumGut_30058	kraken:taxid|3030058|HumGut_30058_1	616501	602133	Campylobacter	Campylobacter concisus
B1_6_months	k141_15171_phage137_3_14367_19_0.78	14365	HumGut_30061	kraken:taxid|3030061|HumGut_30061_1	51022	37317	Campylobacter	Campylobacter concisus
B1_6_months	k141_15171_phage137_3_14367_19_0.78	14365	HumGut_30065	kraken:taxid|3030065|HumGut_30065_1	987066	1000579	Campylobacter	Campylobacter concisus
B1_6_months	k141_15171_phage137_3_14367_19_0.78	14365	HumGut_30078	kraken:taxid|3030078|HumGut_30078_1	1838602	1824692	Campylobacter	Campylobacter concisus
B1_6_months	k141_15171_phage137_3_14367_19_0.78	14365	HumGut_30107	kraken:taxid|3030107|HumGut_30107_1	1701218	1715094	Campylobacter	Campylobacter concisus
B1_6_months	k141_15171_phage137_3_14367_19_0.78	14365	HumGut_30114	kraken:taxid|3030114|HumGut_30114_1	447322	461678	Campylobacter	Campylobacter concisus
B1_6_months	k141_15171_phage137_3_14367_19_0.78	14365	HumGut_30125	kraken:taxid|3030125|HumGut_30125_1	1795566	1781752	Campylobacter	Campylobacter concisus
B1_6_months	k141_15171_phage137_3_14367_19_0.78	14365	HumGut_30127	kraken:taxid|3030127|HumGut_30127_1	4093	17834	Campylobacter	Campylobacter concisus
B1_6_months	k141_15171_phage137_3_14367_19_0.78	14365	HumGut_30145	kraken:taxid|3030145|HumGut_30145_1	927046	940792	Campylobacter	Campylobacter concisus
B1_6_months	k141_15171_phage137_3_14367_19_0.78	14365	HumGut_30165	kraken:taxid|3030165|HumGut_30165_1	462460	448526	Campylobacter	Campylobacter concisus
B1_6_months	k141_15171_phage137_3_14367_19_0.78	14365	HumGut_30186	kraken:taxid|3030186|HumGut_30186_1	1244061	1230360	Campylobacter	Campylobacter concisus
B1_6_months	k141_15171_phage137_3_14367_19_0.78	14365	HumGut_30205	kraken:taxid|3030205|HumGut_30205_1	2058011	2044132	Campylobacter	Campylobacter concisus
B1_6_months	k141_15171_phage137_3_14367_19_0.78	14365	HumGut_30208	kraken:taxid|3030208|HumGut_30208_1	378514	364745	Campylobacter	Campylobacter concisus
B1_6_months	k141_15171_phage137_3_14367_19_0.78	14365	HumGut_30219	kraken:taxid|3030219|HumGut_30219_1	1669895	1656161	Campylobacter	Campylobacter concisus
B1_6_months	k141_15171_phage137_3_14367_19_0.78	14365	HumGut_30232	kraken:taxid|3030232|HumGut_30232_1	916640	930364	Campylobacter	Campylobacter concisus
B1_6_months	k141_15171_phage137_3_14367_19_0.78	14365	HumGut_30239	kraken:taxid|3030239|HumGut_30239_1	565640	579347	Campylobacter	Campylobacter concisus
B1_6_months	k141_15171_phage137_3_14367_19_0.78	14365	HumGut_30241	kraken:taxid|3030241|HumGut_30241_1	1601010	1614778	Campylobacter	Campylobacter concisus
B1_6_months	k141_15171_phage137_3_14367_19_0.78	14365	HumGut_30243	kraken:taxid|3030243|HumGut_30243_1	1686846	1672927	Campylobacter	Campylobacter concisus
B1_6_months	k141_15171_phage137_3_14367_19_0.78	14365	HumGut_30251	kraken:taxid|3030251|HumGut_30251_1	463885	478200	Campylobacter	Campylobacter concisus
B1_6_months	k141_15171_phage137_3_14367_19_0.78	14365	HumGut_30282	kraken:taxid|3030282|HumGut_30282_1	1722511	1736250	Campylobacter	Campylobacter concisus
B1_6_months	k141_15171_phage137_3_14367_19_0.78	14365	HumGut_30291	kraken:taxid|3030291|HumGut_30291_1	148963	161886	Campylobacter	Campylobacter concisus
B1_6_months	k141_15171_phage137_3_14367_19_0.78	14365	HumGut_30292	kraken:taxid|3030292|HumGut_30292_1	1176409	1162669	Campylobacter	Campylobacter concisus
B1_6_months	k141_15171_phage137_3_14367_19_0.78	14365	HumGut_30298	kraken:taxid|3030298|HumGut_30298_1	59612	73408	Campylobacter	Campylobacter concisus
B1_6_months	k141_15171_phage137_3_14367_19_0.78	14365	HumGut_30311	kraken:taxid|3030311|HumGut_30311_1	155781	142037	Campylobacter	Campylobacter concisus
B1_6_months	k141_15171_phage137_3_14367_19_0.78	14365	HumGut_30346	kraken:taxid|3030346|HumGut_30346_1	1679027	1692789	Campylobacter	Campylobacter concisus
B1_6_months	k141_15171_phage137_3_14367_19_0.78	14365	HumGut_30398	kraken:taxid|3030398|HumGut_30398_1	1241959	1228176	Campylobacter	Campylobacter concisus
B1_6_months	k141_15171_phage137_3_14367_19_0.78	14365	HumGut_30456	kraken:taxid|3030456|HumGut_30456_1	1208043	1221912	Campylobacter	Campylobacter concisus
B1_6_months	k141_1580	10846	HumGut_16340	kraken:taxid|3016340|HumGut_16340_1	1850965	1840147	Rothia	Rothia mucilaginosa
B1_6_months	k141_1580	10846	HumGut_16624	kraken:taxid|3016624|HumGut_16624_1	14091	24909	Rothia	Rothia mucilaginosa
B1_6_months	k141_1580	10846	HumGut_16626	kraken:taxid|3016626|HumGut_16626_1	848775	837955	Rothia	Rothia mucilaginosa
B1_6_months	k141_1580	10846	HumGut_16726	kraken:taxid|3016726|HumGut_16726_1	2276496	2265701	Rothia	Rothia mucilaginosa
B1_6_months	k141_1580	10846	HumGut_16755	kraken:taxid|3016755|HumGut_16755_1	1875988	1865162	Rothia	Rothia mucilaginosa
B1_6_months	k141_1580	10846	HumGut_16756	kraken:taxid|3016756|HumGut_16756_1	1600032	1610842	Rothia	Rothia sp. HMSC078H08
B1_6_months	k141_1580	10846	HumGut_16798	kraken:taxid|3016798|HumGut_16798_1	51610	62432	Rothia	Rothia sp. HMSC078H08
B1_6_months	k141_1580	10846	HumGut_16908	kraken:taxid|3016908|HumGut_16908_1	1663747	1652953	Rothia	Rothia mucilaginosa
B1_6_months	k141_1580	10846	HumGut_16926	kraken:taxid|3016926|HumGut_16926_1	335611	346428	Rothia	Rothia sp. HMSC078H08
B1_6_months	k141_1580	10846	HumGut_16928	kraken:taxid|3016928|HumGut_16928_1	1697801	1708619	Rothia	Rothia sp. HMSC078H08
B1_6_months	k141_1580	10846	HumGut_16938	kraken:taxid|3016938|HumGut_16938_1	1112212	1101406	Rothia	Rothia sp. HMSC078H08
B1_6_months	k141_1580	10846	HumGut_16984	kraken:taxid|3016984|HumGut_16984_1	1976886	1966069	Rothia	Rothia mucilaginosa
B1_6_months	k141_1580	10846	HumGut_16992	kraken:taxid|3016992|HumGut_16992_1	2281234	2270425	Rothia	Rothia sp. HMSC078H08
B1_6_months	k141_1580	10846	HumGut_16994	kraken:taxid|3016994|HumGut_16994_1	105229	94410	Rothia	Rothia sp. HMSC078H08
B1_6_months	k141_1580	10846	HumGut_17012	kraken:taxid|3017012|HumGut_17012_1	2245689	2256502	Rothia	Rothia sp. HMSC078H08
B1_6_months	k141_1580	10846	HumGut_17053	kraken:taxid|3017053|HumGut_17053_1	1390998	1401802	Rothia	Rothia sp. HMSC078H08
B1_6_months	k141_1580	10846	HumGut_17085	kraken:taxid|3017085|HumGut_17085_1	849681	860491	Rothia	Rothia mucilaginosa
B1_6_months	k141_1580	10846	HumGut_17095	kraken:taxid|3017095|HumGut_17095_1	1632664	1621843	Rothia	Rothia sp. HMSC078H08
B1_6_months	k141_1580	10846	HumGut_17110	kraken:taxid|3017110|HumGut_17110_1	703992	713808	Rothia	Rothia mucilaginosa
B1_6_months	k141_1580	10846	HumGut_17119	kraken:taxid|3017119|HumGut_17119_1	1951417	1940572	Rothia	Rothia sp. HMSC078H08
B1_6_months	k141_1580	10846	HumGut_17131	kraken:taxid|3017131|HumGut_17131_1	629991	640802	Rothia	Rothia mucilaginosa
B1_6_months	k141_1580	10846	HumGut_17315	kraken:taxid|3017315|HumGut_17315_1	271144	261357	Rothia	Rothia mucilaginosa
B1_6_months	k141_1580	10846	HumGut_17370	kraken:taxid|3017370|HumGut_17370_1	371393	360585	Rothia	Rothia mucilaginosa
B1_6_months	k141_1580	10846	HumGut_17569	kraken:taxid|3017569|HumGut_17569_1	1072273	1083094	Rothia	Rothia sp. HMSC078H08
B1_6_months	k141_1580	10846	HumGut_17614	kraken:taxid|3017614|HumGut_17614_1	622250	611447	Rothia	Rothia mucilaginosa
B1_6_months	k141_1580	10846	HumGut_17650	kraken:taxid|3017650|HumGut_17650_1	199319	188941	Rothia	Rothia mucilaginosa
B1_6_months	k141_1580	10846	HumGut_17752	kraken:taxid|3017752|HumGut_17752_1	755733	766105	Rothia	Rothia mucilaginosa
B1_6_months	k141_1580	10846	HumGut_17761	kraken:taxid|3017761|HumGut_17761_1	23255	12434	Rothia	Rothia mucilaginosa
B1_6_months	k141_1580	10846	HumGut_17777	kraken:taxid|3017777|HumGut_17777_1	2435	13255	Rothia	Rothia mucilaginosa
B1_6_months	k141_1580	10846	HumGut_17977	kraken:taxid|3017977|HumGut_17977_1	71478	60668	Rothia	Rothia mucilaginosa
B1_6_months	k141_1580	10846	HumGut_18022	kraken:taxid|3018022|HumGut_18022_1	1888403	1877620	Rothia	Rothia sp. HMSC078H08
B1_6_months	k141_1580	10846	HumGut_18107	kraken:taxid|3018107|HumGut_18107_1	97496	108306	Rothia	Rothia mucilaginosa
B1_6_months	k141_1580	10846	HumGut_18363	kraken:taxid|3018363|HumGut_18363_1	302432	313260	Rothia	Rothia mucilaginosa
B1_6_months	k141_1580	10846	HumGut_18705	kraken:taxid|3018705|HumGut_18705_1	62904	73722	Rothia	Rothia mucilaginosa
B1_6_months	k141_1580	10846	HumGut_19637	kraken:taxid|3019637|HumGut_19637_1	627031	637845	Rothia	Rothia sp. HMSC078H08
B1_6_months	k141_1580	10846	HumGut_19770	kraken:taxid|3019770|HumGut_19770_1	1078131	1067309	Rothia	Rothia sp. HMSC078H08
B1_6_months	k141_1580	10846	HumGut_20742	kraken:taxid|3020742|HumGut_20742_1	662724	651941	Rothia	Rothia mucilaginosa
B1_6_months	k141_1580	10846	HumGut_24249	kraken:taxid|3024249|HumGut_24249_1	718679	729486	Rothia	Rothia mucilaginosa
B1_6_months	k141_15974	15974	HumGut_20279	kraken:taxid|3020279|HumGut_20279_1	1707268	1723263	Xylanimonas	Xylanimonas cellulosilytica
B1_6_months	k141_15974	15974	HumGut_20281	kraken:taxid|3020281|HumGut_20281_1	171267	155297	Actinomyces	Actinomyces sp. HMSC035G02
B1_6_months	k141_15974	15974	HumGut_20938	kraken:taxid|3020938|HumGut_20938_1	1801593	1817575	Sanguibacter	Sanguibacter keddieii
B1_6_months	k141_15974	15974	HumGut_26172	kraken:taxid|3026172|HumGut_26172_1	1322790	1306819	Schaalia	Schaalia odontolytica
B1_6_months	k141_15974	15974	HumGut_26408	kraken:taxid|3026408|HumGut_26408_1	847	16818	Actinomyces	uncultured Actinomyces sp.
B1_6_months	k141_15974	15974	HumGut_27050	kraken:taxid|3027050|HumGut_27050_1	1527457	1511471	Schaalia	Schaalia odontolytica
B1_6_months	k141_15974	15974	HumGut_27243	kraken:taxid|3027243|HumGut_27243_1	501223	517194	Schaalia	Schaalia odontolytica
B1_6_months	k141_1949_phage208_103_15778_14_0.61	15676	HumGut_30039	kraken:taxid|3030039|HumGut_30039_1	178001	162323	Campylobacter	Campylobacter concisus
B1_6_months	k141_1949_phage208_103_15778_14_0.61	15676	HumGut_30067	kraken:taxid|3030067|HumGut_30067_1	1626183	1641884	Campylobacter	Campylobacter concisus
B1_6_months	k141_1949_phage208_103_15778_14_0.61	15676	HumGut_30145	kraken:taxid|3030145|HumGut_30145_1	1767204	1751499	Campylobacter	Campylobacter concisus
B1_6_months	k141_1949_phage208_103_15778_14_0.61	15676	HumGut_30408	kraken:taxid|3030408|HumGut_30408_1	178702	163023	Campylobacter	Campylobacter concisus
B1_6_months	k141_23339	17874	HumGut_27591	kraken:taxid|3027591|HumGut_27591_1	1596692	1579035	Schaalia	Schaalia odontolytica
B1_6_months	k141_30133_phage265_1_10927_12_0.81	10927	HumGut_17898	kraken:taxid|3017898|HumGut_17898_1	141287	152213	Clostridium	Clostridium perfringens
B1_6_months	k141_33341	10490	HumGut_12571	kraken:taxid|3012571|HumGut_12571_1	504845	515355	Streptococcus	Streptococcus salivarius
B1_6_months	k141_33341	10490	HumGut_12702	kraken:taxid|3012702|HumGut_12702_1	103289	113799	Streptococcus	Streptococcus sp. C150
B1_6_months	k141_33341	10490	HumGut_13493	kraken:taxid|3013493|HumGut_13493_1	673002	682995	Streptococcus	Streptococcus sp. C150
B1_6_months	k141_33341	10490	HumGut_4247	kraken:taxid|3004247|HumGut_4247_1	1050764	1061265	Streptococcus	Streptococcus sp. CCH5-D3
B1_6_months	k141_33341	10490	HumGut_4285	kraken:taxid|3004285|HumGut_4285_1	2042310	2031798	Streptococcus	Streptococcus salivarius
B1_6_months	k141_33341	10490	HumGut_5022	kraken:taxid|3005022|HumGut_5022_1	1855374	1865885	Streptococcus	Streptococcus salivarius
B1_6_months	k141_33341	10490	HumGut_5077	kraken:taxid|3005077|HumGut_5077_1	1370876	1381387	Streptococcus	Streptococcus salivarius
B1_6_months	k141_33341	10490	HumGut_5160	kraken:taxid|3005160|HumGut_5160_1	1391800	1402312	Streptococcus	Streptococcus salivarius
B1_6_months	k141_33341	10490	HumGut_5343	kraken:taxid|3005343|HumGut_5343_1	289873	279353	Streptococcus	Streptococcus sp. CCH5-D3
B1_6_months	k141_33341	10490	HumGut_5393	kraken:taxid|3005393|HumGut_5393_1	1205450	1215962	Streptococcus	Streptococcus salivarius
B1_6_months	k141_33341	10490	HumGut_5405	kraken:taxid|3005405|HumGut_5405_1	77489	67051	Streptococcus	Streptococcus sp. CCH5-D3
B1_6_months	k141_33341	10490	HumGut_5406	kraken:taxid|3005406|HumGut_5406_1	410802	400289	Streptococcus	Streptococcus sp. CCH5-D3
B1_6_months	k141_33341	10490	HumGut_5467	kraken:taxid|3005467|HumGut_5467_1	1399110	1409621	Streptococcus	Streptococcus sp. CCH5-D3
B1_6_months	k141_33341	10490	HumGut_5484	kraken:taxid|3005484|HumGut_5484_1	834092	823591	Streptococcus	Streptococcus salivarius
B1_6_months	k141_33341	10490	HumGut_5531	kraken:taxid|3005531|HumGut_5531_1	1924741	1914239	Streptococcus	Streptococcus sp. CCH5-D3
B1_6_months	k141_33341	10490	HumGut_5547	kraken:taxid|3005547|HumGut_5547_1	2119344	2129855	Streptococcus	Streptococcus salivarius
B1_6_months	k141_33341	10490	HumGut_5556	kraken:taxid|3005556|HumGut_5556_1	909336	898842	Streptococcus	Streptococcus sp. CCH5-D3
B1_6_months	k141_33341	10490	HumGut_5562	kraken:taxid|3005562|HumGut_5562_1	1415749	1426253	Streptococcus	Streptococcus salivarius
B1_6_months	k141_33341	10490	HumGut_5597	kraken:taxid|3005597|HumGut_5597_1	1382615	1393127	Streptococcus	Streptococcus salivarius
B1_6_months	k141_33341	10490	HumGut_5603	kraken:taxid|3005603|HumGut_5603_1	1089332	1078822	Streptococcus	Streptococcus salivarius
B1_6_months	k141_33341	10490	HumGut_5725	kraken:taxid|3005725|HumGut_5725_1	1755892	1766404	Streptococcus	Streptococcus sp. CCH5-D3
B1_6_months	k141_33341	10490	HumGut_5753	kraken:taxid|3005753|HumGut_5753_1	518582	508106	Streptococcus	Streptococcus sp. CCH5-D3
B1_6_months	k141_33341	10490	HumGut_5882	kraken:taxid|3005882|HumGut_5882_1	1372395	1382911	Streptococcus	Streptococcus salivarius
B1_6_months	k141_33341	10490	HumGut_5889	kraken:taxid|3005889|HumGut_5889_1	38498	27996	Streptococcus	Streptococcus sp. CCH5-D3
B1_6_months	k141_33341	10490	HumGut_5913	kraken:taxid|3005913|HumGut_5913_1	1584206	1573693	Streptococcus	Streptococcus sp. CCH5-D3
B1_6_months	k141_33341	10490	HumGut_6097	kraken:taxid|3006097|HumGut_6097_1	510539	521052	Streptococcus	Streptococcus sp. CCH5-D3
B1_6_months	k141_33341	10490	HumGut_6118	kraken:taxid|3006118|HumGut_6118_1	654908	644396	Streptococcus	Streptococcus sp. CCH5-D3
B1_6_months	k141_33341	10490	HumGut_6201	kraken:taxid|3006201|HumGut_6201_1	2125774	2115263	Streptococcus	Streptococcus sp. CCH5-D3
B1_6_months	k141_33341	10490	HumGut_6472	kraken:taxid|3006472|HumGut_6472_1	377204	366691	Streptococcus	Streptococcus salivarius
B1_6_months	k141_33341	10490	HumGut_6756	kraken:taxid|3006756|HumGut_6756_1	589562	579543	Streptococcus	Streptococcus salivarius
B1_6_months	k141_33341	10490	HumGut_7366	kraken:taxid|3007366|HumGut_7366_1	121498	110996	Streptococcus	Streptococcus salivarius
B1_6_months	k141_33341	10490	HumGut_7710	kraken:taxid|3007710|HumGut_7710_1	440307	429809	Streptococcus	Streptococcus sp. CCH5-D3
