sample	contig	qlen	ref	sstart	send	host_genus	host_species
B1_6_months	k141_18979	12091	B6_12_months__249061_uncultured_Actinomyces_sp.__k141_26618	14173	2154	Actinomyces	uncultured Actinomyces sp.
B1_6_months	k141_19027_phage276_23624_51078_32_0.62	27455	B39_1_month__137838_Clostridium_neonatale__k141_26947	23625	51079	Clostridium	Clostridium neonatale
B1_6_months	k141_19027_phage276_23624_51078_32_0.62	27455	B10_6_months__137838_Clostridium_neonatale__k141_5550	23625	51079	Clostridium	Clostridium neonatale
B1_6_months	k141_19027_phage276_23624_51078_32_0.62	27455	B1_6_months__137838_Clostridium_neonatale__k141_19027	23625	51079	Clostridium	Clostridium neonatale
B1_6_months	k141_19027_phage276_23624_51078_32_0.62	27455	B2_1_month__137838_Clostridium_neonatale__k141_23108	23625	51079	Clostridium	Clostridium neonatale
B1_6_months	k141_19027_phage276_23624_51078_32_0.62	27455	B29_6_months__137838_Clostridium_neonatale__k141_30501	70439	42959	Clostridium	Clostridium neonatale
B1_6_months	k141_19027_phage276_23624_51078_32_0.62	27455	B13_12_months__137838_Clostridium_neonatale__k141_102401	1	24866	Clostridium	Clostridium neonatale
B1_6_months	k141_19721	10603	B1_6_months__137838_Clostridium_neonatale__k141_19721	1	10603	Clostridium	Clostridium neonatale
B1_6_months	k141_19721	10603	B19_6_months__137838_Clostridium_neonatale__k141_40599	20	10622	Clostridium	Clostridium neonatale
B1_6_months	k141_19721	10603	B39_6_months__137838_Clostridium_neonatale__k141_24312	10534	1	Clostridium	Clostridium neonatale
B1_6_months	k141_19721	10603	B39_1_month__137838_Clostridium_neonatale__k141_16760	1	10524	Clostridium	Clostridium neonatale
B1_6_months	k141_19721	10603	B13_12_months__137838_Clostridium_neonatale__k141_73612	1	10422	Clostridium	Clostridium neonatale
B1_6_months	k141_19998	12797	B1_6_months__39777_Veillonella_atypica__k141_19998	1	12797	Veillonella	Veillonella atypica
B1_6_months	k141_19998	12797	B26_6_months__39777_Veillonella_atypica__k141_1403	12857	72	Veillonella	Veillonella atypica
B1_6_months	k141_21719_phage230_2_10051_16_0.86	10049	B1_6_months__137838_Clostridium_neonatale__k141_21719	3	10051	Clostridium	Clostridium neonatale
B1_6_months	k141_21719_phage230_2_10051_16_0.86	10049	B39_6_months__137838_Clostridium_neonatale__k141_22746	3	10022	Clostridium	Clostridium neonatale
B1_6_months	k141_22622_phage65_19063_31612_11_0.55	12550	B19_6_months__137838_Clostridium_neonatale__k141_14978	15263	2714	Clostridium	Clostridium neonatale
B1_6_months	k141_22622_phage65_19063_31612_11_0.55	12550	B10_6_months__137838_Clostridium_neonatale__k141_34930	19042	31591	Clostridium	Clostridium neonatale
B1_6_months	k141_22622_phage65_19063_31612_11_0.55	12550	B2_1_month__137838_Clostridium_neonatale__k141_9387	18799	31348	Clostridium	Clostridium neonatale
B1_6_months	k141_23339	17874	B1_6_months__249061_uncultured_Actinomyces_sp.__k141_23339	1	17874	Actinomyces	uncultured Actinomyces sp.
B1_6_months	k141_23339	17874	B17_6_months__249061_uncultured_Actinomyces_sp.__k141_12101	10	17859	Actinomyces	uncultured Actinomyces sp.
B1_6_months	k141_23448	31262	B1_6_months__137838_Clostridium_neonatale__k141_23448	1	31262	Clostridium	Clostridium neonatale
B1_6_months	k141_23448	31262	B3_6_months__137838_Clostridium_neonatale__k141_1963	483	28618	Clostridium	Clostridium neonatale
B1_6_months	k141_23667_1_checkv_155211-200248/225330	45038	B1_6_months__1311_Streptococcus_agalactiae__k141_23667	155211	200248	Streptococcus	Streptococcus agalactiae
B1_6_months	k141_23667_1_checkv_155211-200248/225330	45038	B2_1_month__1328_Streptococcus_anginosus__k141_27957	74585	117514	Streptococcus	Streptococcus anginosus
B1_6_months	k141_2400	18864	B10_6_months__137838_Clostridium_neonatale__k141_1623	70677	51822	Clostridium	Clostridium neonatale
B1_6_months	k141_2400	18864	B39_6_months__137838_Clostridium_neonatale__k141_32447	18858	1	Clostridium	Clostridium neonatale
B1_6_months	k141_2400	18864	B19_6_months__137838_Clostridium_neonatale__k141_9970	19383	555	Clostridium	Clostridium neonatale
B1_6_months	k141_2400	18864	B30_6_months__137838_Clostridium_neonatale__k141_21572	1	18776	Clostridium	Clostridium neonatale
B1_6_months	k141_24128	19798	B1_6_months__249061_uncultured_Actinomyces_sp.__k141_24128	1	19798	Actinomyces	uncultured Actinomyces sp.
B1_6_months	k141_2516_phage272_201023_221544_32_0.75	20522	B1_6_months__1311_Streptococcus_agalactiae__k141_2516	201024	221545	Streptococcus	Streptococcus agalactiae
B1_6_months	k141_26340	11836	B3_6_months__137838_Clostridium_neonatale__k141_11667	11829	1	Clostridium	Clostridium neonatale
B1_6_months	k141_26340	11836	B39_6_months__137838_Clostridium_neonatale__k141_23795	11810	1	Clostridium	Clostridium neonatale
B1_6_months	k141_28566_phage130_3003_21785_23_0.56	18783	B1_6_months__1311_Streptococcus_agalactiae__k141_28566	3004	21786	Streptococcus	Streptococcus agalactiae
B1_6_months	k141_30228	20863	B1_6_months__729_Haemophilus_parainfluenzae__k141_30228	1	20863	Haemophilus	Haemophilus parainfluenzae
B1_6_months	k141_30303_phage0_1_15226_17_0.78	15226	B39_6_months__137838_Clostridium_neonatale__k141_9714	2	15227	Clostridium	Clostridium neonatale
B1_6_months	k141_30303_phage0_1_15226_17_0.78	15226	B19_6_months__137838_Clostridium_neonatale__k141_38363	2	15227	Clostridium	Clostridium neonatale
B1_6_months	k141_30303_phage0_1_15226_17_0.78	15226	B13_12_months__137838_Clostridium_neonatale__k141_46579	2	15227	Clostridium	Clostridium neonatale
B1_6_months	k141_30303_phage0_1_15226_17_0.78	15226	B3_6_months__137838_Clostridium_neonatale__k141_27235	2	15227	Clostridium	Clostridium neonatale
B1_6_months	k141_30303_phage0_1_15226_17_0.78	15226	B1_6_months__137838_Clostridium_neonatale__k141_30303	2	15227	Clostridium	Clostridium neonatale
B1_6_months	k141_30303_phage0_1_15226_17_0.78	15226	B5_12_months__137838_Clostridium_neonatale__k141_23741	1880	17102	Clostridium	Clostridium neonatale
B1_6_months	k141_30945_phage44_4527_22491_13_0.53	17965	B1_6_months__249061_uncultured_Actinomyces_sp.__k141_30945	4528	22492	Actinomyces	uncultured Actinomyces sp.
B1_6_months	k141_30945_phage44_4527_22491_13_0.53	17965	B17_6_months__249061_uncultured_Actinomyces_sp.__k141_9646	21181	3217	Actinomyces	uncultured Actinomyces sp.
B1_6_months	k141_31064_1_checkv_135200-184364/184364	49165	B1_6_months__3015964_Streptococcus_agalactiae__k141_31064	135200	184364	Streptococcus	Streptococcus agalactiae
B1_6_months	k141_31190_phage95_12006_26556_26_0.76	14551	B26_6_months__137838_Clostridium_neonatale__k141_16023	19375	4952	Clostridium	Clostridium neonatale
B1_6_months	k141_31190_phage95_12006_26556_26_0.76	14551	B2_1_month__137838_Clostridium_neonatale__k141_28498	4732	19078	Clostridium	Clostridium neonatale
B1_6_months	k141_31190_phage95_12006_26556_26_0.76	14551	B10_6_months__137838_Clostridium_neonatale__k141_32362	1	14290	Clostridium	Clostridium neonatale
B1_6_months	k141_31190_phage95_12006_26556_26_0.76	14551	B19_6_months__137838_Clostridium_neonatale__k141_33630	14195	1	Clostridium	Clostridium neonatale
B1_6_months	k141_31740_phage146_17911_45831_33_0.63	27921	B1_6_months__137838_Clostridium_neonatale__k141_31740	17912	45832	Clostridium	Clostridium neonatale
B1_6_months	k141_31740_phage146_17911_45831_33_0.63	27921	B39_6_months__137838_Clostridium_neonatale__k141_12259	20259	45581	Clostridium	Clostridium neonatale
B1_6_months	k141_31740_phage146_17911_45831_33_0.63	27921	B39_1_month__137838_Clostridium_neonatale__k141_25043	67750	42444	Clostridium	Clostridium neonatale
B1_6_months	k141_32001_phage192_155734_173990_20_0.62	18257	B39_6_months__137838_Clostridium_neonatale__k141_37320	33100	14844	Clostridium	Clostridium neonatale
B1_6_months	k141_32001_phage192_155734_173990_20_0.62	18257	B39_1_month__137838_Clostridium_neonatale__k141_1912	33098	14842	Clostridium	Clostridium neonatale
B1_6_months	k141_32001_phage192_155734_173990_20_0.62	18257	B1_6_months__137838_Clostridium_neonatale__k141_32001	155735	173991	Clostridium	Clostridium neonatale
B1_6_months	k141_32001_phage192_155734_173990_20_0.62	18257	B12_6_months__137838_Clostridium_neonatale__k141_37735	143069	161325	Clostridium	Clostridium neonatale
B1_6_months	k141_32001_phage192_155734_173990_20_0.62	18257	B37_6_months__137838_Clostridium_neonatale__k141_12984	44164	25909	Clostridium	Clostridium neonatale
B1_6_months	k141_32001_phage192_155734_173990_20_0.62	18257	B26_6_months__137838_Clostridium_neonatale__k141_12772	38522	20264	Clostridium	Clostridium neonatale
B1_6_months	k141_32001_phage192_155734_173990_20_0.62	18257	B5_12_months__137838_Clostridium_neonatale__k141_70891	15558	33828	Clostridium	Clostridium neonatale
B1_6_months	k141_33341	10490	B20_6_months__435842_Streptococcus_sp._C150__k141_19184	7425	17941	Streptococcus	Streptococcus sp. C150
B1_6_months	k141_33341	10490	B16_6_months__435842_Streptococcus_sp._C150__k141_67992	11623	22140	Streptococcus	Streptococcus sp. C150
B1_6_months	k141_33341	10490	B18_6_months__435842_Streptococcus_sp._C150__k141_31193	10361	20878	Streptococcus	Streptococcus sp. C150
B1_6_months	k141_33341	10490	B15_6_months__435842_Streptococcus_sp._C150__k141_18181	11931	22442	Streptococcus	Streptococcus sp. C150
B1_6_months	k141_33341	10490	B26_6_months__435842_Streptococcus_sp._C150__k141_11505	6056	16567	Streptococcus	Streptococcus sp. C150
B1_6_months	k141_33341	10490	B19_6_months__435842_Streptococcus_sp._C150__k141_39902	66968	56451	Streptococcus	Streptococcus sp. C150
B1_6_months	k141_33341	10490	B10_6_months__435842_Streptococcus_sp._C150__k141_4159	72490	61979	Streptococcus	Streptococcus sp. C150
B1_6_months	k141_33341	10490	B39_6_months__435842_Streptococcus_sp._C150__k141_43669	120287	130799	Streptococcus	Streptococcus sp. C150
B1_6_months	k141_33341	10490	B25_12_months__435842_Streptococcus_sp._C150__k141_67590	10194	20706	Streptococcus	Streptococcus sp. C150
B1_6_months	k141_33341	10490	B12_6_months__435842_Streptococcus_sp._C150__k141_20851	10919	21431	Streptococcus	Streptococcus sp. C150
B1_6_months	k141_33836_phage119_8644_23347_18_0.55	14704	B1_6_months__137838_Clostridium_neonatale__k141_33836	8645	23348	Clostridium	Clostridium neonatale
B1_6_months	k141_33836_phage119_8644_23347_18_0.55	14704	B39_1_month__137838_Clostridium_neonatale__k141_10808	8646	23346	Clostridium	Clostridium neonatale
B1_6_months	k141_33836_phage119_8644_23347_18_0.55	14704	B39_6_months__137838_Clostridium_neonatale__k141_28077	8719	23393	Clostridium	Clostridium neonatale
B1_6_months	k141_33836_phage119_8644_23347_18_0.55	14704	B13_12_months__137838_Clostridium_neonatale__k141_81271	14629	1	Clostridium	Clostridium neonatale
B1_6_months	k141_33836_phage119_8644_23347_18_0.55	14704	B19_6_months__137838_Clostridium_neonatale__k141_51410	8603	23137	Clostridium	Clostridium neonatale
B1_6_months	k141_33836_phage119_8644_23347_18_0.55	14704	B19_12_months__137838_Clostridium_neonatale__k141_81306	113743	128363	Clostridium	Clostridium neonatale
B1_6_months	k141_33836_phage119_8644_23347_18_0.55	14704	B3_6_months__137838_Clostridium_neonatale__k141_18045	14601	151	Clostridium	Clostridium neonatale
B1_6_months	k141_33836_phage119_8644_23347_18_0.55	14704	B30_12_months__137838_Clostridium_neonatale__k141_28871	1427	15874	Clostridium	Clostridium neonatale
B1_6_months	k141_33836_phage119_8644_23347_18_0.55	14704	B5_12_months__137838_Clostridium_neonatale__k141_64620	112649	127096	Clostridium	Clostridium neonatale
B1_6_months	k141_33836_phage119_8644_23347_18_0.55	14704	B32_12_months__137838_Clostridium_neonatale__k141_66303	19320	5383	Clostridium	Clostridium neonatale
B1_6_months	k141_33836_phage119_8644_23347_18_0.55	14704	B30_6_months__137838_Clostridium_neonatale__k141_21401	43503	29547	Clostridium	Clostridium neonatale
B1_6_months	k141_33836_phage119_8644_23347_18_0.55	14704	B29_6_months__137838_Clostridium_neonatale__k141_4409	27558	13602	Clostridium	Clostridium neonatale
B1_6_months	k141_33836_phage119_8644_23347_18_0.55	14704	B12_6_months__137838_Clostridium_neonatale__k141_35253	27445	13489	Clostridium	Clostridium neonatale
B1_6_months	k141_33836_phage119_8644_23347_18_0.55	14704	B37_6_months__137838_Clostridium_neonatale__k141_12827	27380	13423	Clostridium	Clostridium neonatale
B1_6_months	k141_34373_phage188_63128_75541_10_0.56	12414	B1_6_months__137838_Clostridium_neonatale__k141_34373	63129	75542	Clostridium	Clostridium neonatale
B1_6_months	k141_34373_phage188_63128_75541_10_0.56	12414	B19_6_months__137838_Clostridium_neonatale__k141_19699	26524	38937	Clostridium	Clostridium neonatale
B1_6_months	k141_34373_phage188_63128_75541_10_0.56	12414	B3_6_months__137838_Clostridium_neonatale__k141_27069	24125	36538	Clostridium	Clostridium neonatale
B1_6_months	k141_34373_phage188_63128_75541_10_0.56	12414	B39_6_months__137838_Clostridium_neonatale__k141_30669	26844	39245	Clostridium	Clostridium neonatale
B1_6_months	k141_34373_phage188_63128_75541_10_0.56	12414	B13_12_months__137838_Clostridium_neonatale__k141_108183	13157	25426	Clostridium	Clostridium neonatale
B1_6_months	k141_35867	15551	B1_6_months__137838_Clostridium_neonatale__k141_35867	1	15551	Clostridium	Clostridium neonatale
B1_6_months	k141_35867	15551	B10_6_months__137838_Clostridium_neonatale__k141_31117	16480	930	Clostridium	Clostridium neonatale
B1_6_months	k141_35867	15551	B13_12_months__137838_Clostridium_neonatale__k141_6904	15397	1	Clostridium	Clostridium neonatale
B1_6_months	k141_36275	21581	B1_6_months__137838_Clostridium_neonatale__k141_36275	1	21581	Clostridium	Clostridium neonatale
B1_6_months	k141_36275	21581	B19_6_months__137838_Clostridium_neonatale__k141_47853	21595	16	Clostridium	Clostridium neonatale
B1_6_months	k141_36275	21581	B3_6_months__137838_Clostridium_neonatale__k141_4573	1	20557	Clostridium	Clostridium neonatale
B1_6_months	k141_36494_phage102_139111_155655_16_0.77	16545	B1_6_months__1311_Streptococcus_agalactiae__k141_36494	139112	155656	Streptococcus	Streptococcus agalactiae
B1_6_months	k141_36603_phage121_119_33802_49_0.81	33683	B1_6_months__137838_Clostridium_neonatale__k141_36603	120	33802	Clostridium	Clostridium neonatale
B1_6_months	k141_36603_phage121_119_33802_49_0.81	33683	B13_12_months__137838_Clostridium_neonatale__k141_13312	27	33707	Clostridium	Clostridium neonatale
B1_6_months	k141_36603_phage121_119_33802_49_0.81	33683	B39_6_months__137838_Clostridium_neonatale__k141_27873	31041	1	Clostridium	Clostridium neonatale
B1_6_months	k141_38470	15284	B36_6_months__1660_Schaalia_odontolytica__k141_12368	35067	19788	Schaalia	Schaalia odontolytica
B1_6_months	k141_38470	15284	B29_6_months__1660_Schaalia_odontolytica__k141_38613	96509	111792	Schaalia	Schaalia odontolytica
B1_6_months	k141_38470	15284	B25_12_months__1660_Schaalia_odontolytica__k141_128330	2914	17108	Schaalia	Schaalia odontolytica
B1_6_months	k141_38470	15284	B1_6_months__249061_uncultured_Actinomyces_sp.__k141_38470	1	15284	Actinomyces	uncultured Actinomyces sp.
B1_6_months	k141_38470	15284	B17_6_months__249061_uncultured_Actinomyces_sp.__k141_7484	15953	1317	Actinomyces	uncultured Actinomyces sp.
B1_6_months	k141_38785_phage54_8890_22237_11_0.74	13348	B39_6_months__137838_Clostridium_neonatale__k141_4811	8891	22238	Clostridium	Clostridium neonatale
B1_6_months	k141_38785_phage54_8890_22237_11_0.74	13348	B39_1_month__137838_Clostridium_neonatale__k141_41132	8891	22238	Clostridium	Clostridium neonatale
B1_6_months	k141_38785_phage54_8890_22237_11_0.74	13348	B19_6_months__137838_Clostridium_neonatale__k141_21372	27388	14041	Clostridium	Clostridium neonatale
B1_6_months	k141_38785_phage54_8890_22237_11_0.74	13348	B13_12_months__137838_Clostridium_neonatale__k141_871	8735	22082	Clostridium	Clostridium neonatale
B1_6_months	k141_38785_phage54_8890_22237_11_0.74	13348	B10_6_months__137838_Clostridium_neonatale__k141_26122	8744	22091	Clostridium	Clostridium neonatale
B1_6_months	k141_38785_phage54_8890_22237_11_0.74	13348	B3_6_months__137838_Clostridium_neonatale__k141_25339	8891	22238	Clostridium	Clostridium neonatale
B1_6_months	k141_38785_phage54_8890_22237_11_0.74	13348	B1_6_months__137838_Clostridium_neonatale__k141_38785	8891	22238	Clostridium	Clostridium neonatale
B1_6_months	k141_38785_phage54_8890_22237_11_0.74	13348	B19_12_months__137838_Clostridium_neonatale__k141_822	11637	24984	Clostridium	Clostridium neonatale
B1_6_months	k141_38785_phage54_8890_22237_11_0.74	13348	B15_6_months__137838_Clostridium_neonatale__k141_16237	52214	65561	Clostridium	Clostridium neonatale
B1_6_months	k141_38785_phage54_8890_22237_11_0.74	13348	B5_12_months__137838_Clostridium_neonatale__k141_36381	29950	16603	Clostridium	Clostridium neonatale
B1_6_months	k141_38785_phage54_8890_22237_11_0.74	13348	B32_12_months__137838_Clostridium_neonatale__k141_40726	29955	16609	Clostridium	Clostridium neonatale
B1_6_months	k141_38785_phage54_8890_22237_11_0.74	13348	B37_6_months__137838_Clostridium_neonatale__k141_27287	30279	16933	Clostridium	Clostridium neonatale
B1_6_months	k141_38785_phage54_8890_22237_11_0.74	13348	B29_6_months__137838_Clostridium_neonatale__k141_4392	30034	16688	Clostridium	Clostridium neonatale
B1_6_months	k141_38785_phage54_8890_22237_11_0.74	13348	B12_6_months__137838_Clostridium_neonatale__k141_58750	30260	16914	Clostridium	Clostridium neonatale
B1_6_months	k141_38785_phage54_8890_22237_11_0.74	13348	B30_6_months__137838_Clostridium_neonatale__k141_30300	10546	23892	Clostridium	Clostridium neonatale
B1_6_months	k141_38785_phage54_8890_22237_11_0.74	13348	B26_6_months__137838_Clostridium_neonatale__k141_7999	30017	16671	Clostridium	Clostridium neonatale
B1_6_months	k141_38785_phage54_8890_22237_11_0.74	13348	B2_1_month__137838_Clostridium_neonatale__k141_4728	30022	16676	Clostridium	Clostridium neonatale
B1_6_months	k141_39395_phage123_3343_27612_18_0.6	24270	B39_6_months__137838_Clostridium_neonatale__k141_41307	3344	27613	Clostridium	Clostridium neonatale
B1_6_months	k141_39395_phage123_3343_27612_18_0.6	24270	B39_1_month__137838_Clostridium_neonatale__k141_43708	80163	55894	Clostridium	Clostridium neonatale
B1_6_months	k141_39395_phage123_3343_27612_18_0.6	24270	B13_12_months__137838_Clostridium_neonatale__k141_120069	39615	15346	Clostridium	Clostridium neonatale
B1_6_months	k141_39395_phage123_3343_27612_18_0.6	24270	B3_6_months__137838_Clostridium_neonatale__k141_37678	28634	4365	Clostridium	Clostridium neonatale
B1_6_months	k141_39395_phage123_3343_27612_18_0.6	24270	B1_6_months__137838_Clostridium_neonatale__k141_39395	3344	27613	Clostridium	Clostridium neonatale
B1_6_months	k141_39395_phage123_3343_27612_18_0.6	24270	B10_6_months__137838_Clostridium_neonatale__k141_31457	39126	14857	Clostridium	Clostridium neonatale
B1_6_months	k141_39395_phage123_3343_27612_18_0.6	24270	B37_6_months__137838_Clostridium_neonatale__k141_7647	43946	19687	Clostridium	Clostridium neonatale
B1_6_months	k141_39395_phage123_3343_27612_18_0.6	24270	B30_6_months__137838_Clostridium_neonatale__k141_34712	3344	27603	Clostridium	Clostridium neonatale
B1_6_months	k141_39395_phage123_3343_27612_18_0.6	24270	B29_6_months__137838_Clostridium_neonatale__k141_15106	3600	27859	Clostridium	Clostridium neonatale
B1_6_months	k141_39395_phage123_3343_27612_18_0.6	24270	B12_6_months__137838_Clostridium_neonatale__k141_41448	3344	27603	Clostridium	Clostridium neonatale
B1_6_months	k141_39395_phage123_3343_27612_18_0.6	24270	B32_12_months__137838_Clostridium_neonatale__k141_94746	57757	33505	Clostridium	Clostridium neonatale
B1_6_months	k141_39395_phage123_3343_27612_18_0.6	24270	B26_6_months__137838_Clostridium_neonatale__k141_18129	27707	51956	Clostridium	Clostridium neonatale
B1_6_months	k141_39395_phage123_3343_27612_18_0.6	24270	B2_1_month__137838_Clostridium_neonatale__k141_41174	27707	51956	Clostridium	Clostridium neonatale
B1_6_months	k141_39395_phage123_3343_27612_18_0.6	24270	B5_12_months__137838_Clostridium_neonatale__k141_9828	34701	56697	Clostridium	Clostridium neonatale
B1_6_months	k141_39529_phage138_2_18675_20_0.85	18674	B39_6_months__137838_Clostridium_neonatale__k141_25678	19390	717	Clostridium	Clostridium neonatale
B1_6_months	k141_39529_phage138_2_18675_20_0.85	18674	B19_6_months__137838_Clostridium_neonatale__k141_21319	3365	22038	Clostridium	Clostridium neonatale
B1_6_months	k141_39529_phage138_2_18675_20_0.85	18674	B3_6_months__137838_Clostridium_neonatale__k141_2351	19604	931	Clostridium	Clostridium neonatale
B1_6_months	k141_39540_phage142_2_19489_25_0.85	19488	B1_6_months__137838_Clostridium_neonatale__k141_39540	3	19490	Clostridium	Clostridium neonatale
B1_6_months	k141_39540_phage142_2_19489_25_0.85	19488	B19_6_months__137838_Clostridium_neonatale__k141_9968	75492	56009	Clostridium	Clostridium neonatale
B1_6_months	k141_39540_phage142_2_19489_25_0.85	19488	B13_12_months__137838_Clostridium_neonatale__k141_45074	1	18807	Clostridium	Clostridium neonatale
B1_6_months	k141_39540_phage142_2_19489_25_0.85	19488	B39_6_months__137838_Clostridium_neonatale__k141_14650	1	17547	Clostridium	Clostridium neonatale
B1_6_months	k141_39742	29092	B1_6_months__1309_Streptococcus_mutans__k141_39742	1	29092	Streptococcus	Streptococcus mutans
B1_6_months	k141_39742	29092	B39_6_months__1309_Streptococcus_mutans__k141_17241	29103	15	Streptococcus	Streptococcus mutans
B1_6_months	k141_4032	15971	B1_6_months__249061_uncultured_Actinomyces_sp.__k141_4032	1	15971	Actinomyces	uncultured Actinomyces sp.
B1_6_months	k141_41895_phage92_4175_34475_33_0.66	30301	B39_6_months__137838_Clostridium_neonatale__k141_22061	4176	34476	Clostridium	Clostridium neonatale
B1_6_months	k141_41895_phage92_4175_34475_33_0.66	30301	B39_1_month__137838_Clostridium_neonatale__k141_1392	4176	34476	Clostridium	Clostridium neonatale
B1_6_months	k141_41895_phage92_4175_34475_33_0.66	30301	B1_6_months__137838_Clostridium_neonatale__k141_41895	4176	34476	Clostridium	Clostridium neonatale
B1_6_months	k141_41895_phage92_4175_34475_33_0.66	30301	B3_6_months__137838_Clostridium_neonatale__k141_21867	70073	42298	Clostridium	Clostridium neonatale
B1_6_months	k141_4684_phage234_1673_16198_14_0.61	14526	B39_6_months__137838_Clostridium_neonatale__k141_38231	15473	948	Clostridium	Clostridium neonatale
B1_6_months	k141_4684_phage234_1673_16198_14_0.61	14526	B39_1_month__137838_Clostridium_neonatale__k141_5184	34842	20317	Clostridium	Clostridium neonatale
B1_6_months	k141_4684_phage234_1673_16198_14_0.61	14526	B19_6_months__137838_Clostridium_neonatale__k141_12034	7146	21671	Clostridium	Clostridium neonatale
B1_6_months	k141_4684_phage234_1673_16198_14_0.61	14526	B13_12_months__137838_Clostridium_neonatale__k141_123905	15879	1354	Clostridium	Clostridium neonatale
B1_6_months	k141_4684_phage234_1673_16198_14_0.61	14526	B10_6_months__137838_Clostridium_neonatale__k141_12066	35538	21013	Clostridium	Clostridium neonatale
B1_6_months	k141_4684_phage234_1673_16198_14_0.61	14526	B3_6_months__137838_Clostridium_neonatale__k141_12046	1662	16187	Clostridium	Clostridium neonatale
B1_6_months	k141_4684_phage234_1673_16198_14_0.61	14526	B1_6_months__137838_Clostridium_neonatale__k141_4684	1674	16199	Clostridium	Clostridium neonatale
B1_6_months	k141_4684_phage234_1673_16198_14_0.61	14526	B32_12_months__137838_Clostridium_neonatale__k141_71277	15772	1247	Clostridium	Clostridium neonatale
