sample	contig	qlen	ref	sstart	send	host_genus	host_species
B1_6_months	k141_30303_phage0_1_15226_17_0.78	15226	B1_6_months__137838_Clostridium_neonatale__k141_30303	2	15227	Clostridium	Clostridium neonatale
B1_6_months	k141_30945_phage44_4527_22491_13_0.53	17965	B1_6_months__249061_uncultured_Actinomyces_sp.__k141_30945	4528	22492	Actinomyces	uncultured Actinomyces sp.
B1_6_months	k141_31064_1_checkv_135200-184364/184364	49165	B1_6_months__3015964_Streptococcus_agalactiae__k141_31064	135200	184364	Streptococcus	Streptococcus agalactiae
B1_6_months	k141_31740_phage146_17911_45831_33_0.63	27921	B1_6_months__137838_Clostridium_neonatale__k141_31740	17912	45832	Clostridium	Clostridium neonatale
B1_6_months	k141_32001_phage192_155734_173990_20_0.62	18257	B1_6_months__137838_Clostridium_neonatale__k141_32001	155735	173991	Clostridium	Clostridium neonatale
B1_6_months	k141_33836_phage119_8644_23347_18_0.55	14704	B1_6_months__137838_Clostridium_neonatale__k141_33836	8645	23348	Clostridium	Clostridium neonatale
B1_6_months	k141_34373_phage188_63128_75541_10_0.56	12414	B1_6_months__137838_Clostridium_neonatale__k141_34373	63129	75542	Clostridium	Clostridium neonatale
B1_6_months	k141_35867	15551	B1_6_months__137838_Clostridium_neonatale__k141_35867	1	15551	Clostridium	Clostridium neonatale
B1_6_months	k141_36275	21581	B1_6_months__137838_Clostridium_neonatale__k141_36275	1	21581	Clostridium	Clostridium neonatale
B1_6_months	k141_36494_phage102_139111_155655_16_0.77	16545	B1_6_months__1311_Streptococcus_agalactiae__k141_36494	139112	155656	Streptococcus	Streptococcus agalactiae
B1_6_months	k141_36603_phage121_119_33802_49_0.81	33683	B1_6_months__137838_Clostridium_neonatale__k141_36603	120	33802	Clostridium	Clostridium neonatale
B1_6_months	k141_38470	15284	B1_6_months__249061_uncultured_Actinomyces_sp.__k141_38470	1	15284	Actinomyces	uncultured Actinomyces sp.
B1_6_months	k141_38785_phage54_8890_22237_11_0.74	13348	B1_6_months__137838_Clostridium_neonatale__k141_38785	8891	22238	Clostridium	Clostridium neonatale
B1_6_months	k141_39395_phage123_3343_27612_18_0.6	24270	B1_6_months__137838_Clostridium_neonatale__k141_39395	3344	27613	Clostridium	Clostridium neonatale
B1_6_months	k141_39540_phage142_2_19489_25_0.85	19488	B1_6_months__137838_Clostridium_neonatale__k141_39540	3	19490	Clostridium	Clostridium neonatale
B1_6_months	k141_39742	29092	B1_6_months__1309_Streptococcus_mutans__k141_39742	1	29092	Streptococcus	Streptococcus mutans
B1_6_months	k141_4032	15971	B1_6_months__249061_uncultured_Actinomyces_sp.__k141_4032	1	15971	Actinomyces	uncultured Actinomyces sp.
B1_6_months	k141_41895_phage92_4175_34475_33_0.66	30301	B1_6_months__137838_Clostridium_neonatale__k141_41895	4176	34476	Clostridium	Clostridium neonatale
B1_6_months	k141_4684_phage234_1673_16198_14_0.61	14526	B1_6_months__137838_Clostridium_neonatale__k141_4684	1674	16199	Clostridium	Clostridium neonatale
B1_6_months	k141_5494	15863	B1_6_months__1280_Staphylococcus_aureus__k141_5494	1	15863	Staphylococcus	Staphylococcus aureus
B1_6_months	k141_6833_phage141_1_22098_33_0.86	22098	B1_6_months__137838_Clostridium_neonatale__k141_6833	2	22099	Clostridium	Clostridium neonatale
B1_6_months	k141_7468_phage213_8839_21380_12_0.65	12542	B1_6_months__249061_uncultured_Actinomyces_sp.__k141_7468	8840	21381	Actinomyces	uncultured Actinomyces sp.
B1_6_months	k141_7560	12708	B1_6_months__39777_Veillonella_atypica__k141_7560	1	12708	Veillonella	Veillonella atypica
B1_6_months	k141_7754_phage238_550_15163_20_0.74	14614	B1_6_months__729_Haemophilus_parainfluenzae__k141_7754	551	15164	Haemophilus	Haemophilus parainfluenzae
B1_6_months	k141_7890_phage249_245_33153_49_0.83	32909	B1_6_months__137838_Clostridium_neonatale__k141_7890	246	33154	Clostridium	Clostridium neonatale
B1_6_months	k141_8058	21708	B1_6_months__137838_Clostridium_neonatale__k141_8058	1	21708	Clostridium	Clostridium neonatale
B1_6_months	k141_8452_phage17_3_23585_29_0.76	23583	B1_6_months__137838_Clostridium_neonatale__k141_8452	4	23586	Clostridium	Clostridium neonatale
B1_6_months	k141_9164	31102	B1_6_months__249061_uncultured_Actinomyces_sp.__k141_9164	1	31102	Actinomyces	uncultured Actinomyces sp.
B1_6_months	k141_925_phage73_292_23927_23_0.61	23636	B1_6_months__137838_Clostridium_neonatale__k141_925	293	23928	Clostridium	Clostridium neonatale
B2_1_month	k141_10139	16222	B2_1_month__395631_Phytobacter_diazotrophicus__k141_10139	1	16222	Phytobacter	Phytobacter diazotrophicus
B2_1_month	k141_10364_phage596_4035_21129_20_0.78	17095	B2_1_month__137838_Clostridium_neonatale__k141_10364	4036	21130	Clostridium	Clostridium neonatale
B2_1_month	k141_10479	14146	B2_1_month__395631_Phytobacter_diazotrophicus__k141_10479	1	14146	Phytobacter	Phytobacter diazotrophicus
B2_1_month	k141_10692_phage656_11923_24891_11_0.6	12969	B2_1_month__137838_Clostridium_neonatale__k141_10692	11924	24892	Clostridium	Clostridium neonatale
B2_1_month	k141_10704_1_checkv_14688-49057/62139	34370	B2_1_month__395631_Phytobacter_diazotrophicus__k141_10704	14688	49057	Phytobacter	Phytobacter diazotrophicus
B2_1_month	k141_11453_1_checkv_32661-64538/72513	31878	B2_1_month__278064_uncultured_Dialister_sp.__k141_11453	32661	64538	Dialister	uncultured Dialister sp.
B2_1_month	k141_11506	77874	B2_1_month__371601_Bacteroides_xylanisolvens__k141_11506	1	77874	Bacteroides	Bacteroides xylanisolvens
B2_1_month	k141_11694_phage329_80931_94344_15_0.6	13414	B2_1_month__1465756_Peptoniphilus_grossensis__k141_11694	80932	94345	Peptoniphilus	Peptoniphilus grossensis
B2_1_month	k141_11772_1_checkv_18295-44035/44035	25741	B2_1_month__278064_uncultured_Dialister_sp.__k141_11772	18295	44035	Dialister	uncultured Dialister sp.
B2_1_month	k141_11819	22734	B2_1_month__820_Bacteroides_uniformis__k141_11819	1	22734	Bacteroides	Bacteroides uniformis
B2_1_month	k141_11855	14724	B2_1_month__395631_Phytobacter_diazotrophicus__k141_11855	1	14724	Phytobacter	Phytobacter diazotrophicus
B2_1_month	k141_11882	19325	B2_1_month__395631_Phytobacter_diazotrophicus__k141_11882	1	19325	Phytobacter	Phytobacter diazotrophicus
B2_1_month	k141_11966	51627	B2_1_month__371601_Bacteroides_xylanisolvens__k141_11966	1	51627	Bacteroides	Bacteroides xylanisolvens
B2_1_month	k141_12123	42519	B2_1_month__137838_Clostridium_neonatale__k141_12123	1	42519	Clostridium	Clostridium neonatale
B2_1_month	k141_12224_phage516_85165_98334_11_0.54	13170	B2_1_month__1597_Lacticaseibacillus_paracasei__k141_12224	85166	98335	Lacticaseibacillus	Lacticaseibacillus paracasei
B2_1_month	k141_1263_1_checkv_119032-159457/179212	40426	B2_1_month__48296_Acinetobacter_pittii__k141_1263	119032	159457	Acinetobacter	Acinetobacter pittii
B2_1_month	k141_12707	11383	B2_1_month__68891_Streptococcus_peroris__k141_12707	1	11383	Streptococcus	Streptococcus peroris
B2_1_month	k141_13184_phage703_185883_212839_33_0.73	26957	B2_1_month__820_Bacteroides_uniformis__k141_13184	185884	212840	Bacteroides	Bacteroides uniformis
B2_1_month	k141_13298_1_checkv_1-56920/59114	56920	B2_1_month__48296_Acinetobacter_pittii__k141_13298	1	56920	Acinetobacter	Acinetobacter pittii
B2_1_month	k141_13913	35518	B2_1_month__28116_Bacteroides_ovatus__k141_13913	1	35518	Bacteroides	Bacteroides ovatus
B2_1_month	k141_14391_1_checkv_1-14446/21017	14446	B2_1_month__1280_Staphylococcus_aureus__k141_14391	1	14446	Staphylococcus	Staphylococcus aureus
B2_1_month	k141_14573_phage530_91901_129854_43_0.74	37954	B2_1_month__1502_Clostridium_perfringens__k141_14573	91902	129855	Clostridium	Clostridium perfringens
B2_1_month	k141_14632_phage553_1_26920_39_0.68	26920	B2_1_month__573_Klebsiella_pneumoniae__k141_14632	2	26921	Klebsiella	Klebsiella pneumoniae
B2_1_month	k141_14934_phage639_1087_11678_12_0.66	10592	B2_1_month__1290_Staphylococcus_hominis__k141_14934	1088	11679	Staphylococcus	Staphylococcus hominis
B2_1_month	k141_15102	10350	B2_1_month__37637_Corynebacterium_pseudodiphtheriticum__k141_15102	1	10350	Corynebacterium	Corynebacterium pseudodiphtheriticum
B2_1_month	k141_15145_1_checkv_11944-34095/73780	22152	B2_1_month__395631_Phytobacter_diazotrophicus__k141_15145	11944	34095	Phytobacter	Phytobacter diazotrophicus
B2_1_month	k141_15719_phage88_74842_91046_21_0.55	16205	B2_1_month__137838_Clostridium_neonatale__k141_15719	74843	91047	Clostridium	Clostridium neonatale
B2_1_month	k141_15815_phage157_2_23981_36_0.88	23979	B2_1_month__1260_Finegoldia_magna__k141_15815	3	23981	Finegoldia	Finegoldia magna
B2_1_month	k141_15880	17225	B2_1_month__395631_Phytobacter_diazotrophicus__k141_15880	1	17225	Phytobacter	Phytobacter diazotrophicus
B2_1_month	k141_15896_1_checkv_7645-44814/80302	37170	B2_1_month__395631_Phytobacter_diazotrophicus__k141_15896	7645	44814	Phytobacter	Phytobacter diazotrophicus
B2_1_month	k141_16376	11508	B2_1_month__1241616_Staphylococcus_aureus__k141_16376	1	11508	Staphylococcus	Staphylococcus aureus
B2_1_month	k141_16783_phage570_8715_23193_22_0.75	14479	B2_1_month__137838_Clostridium_neonatale__k141_16783	8716	23194	Clostridium	Clostridium neonatale
B2_1_month	k141_17374	19415	B2_1_month__28125_Prevotella_bivia__k141_17374	1	19415	Prevotella	Prevotella bivia
B2_1_month	k141_17440_1_checkv_6117-41963/77017	35847	B2_1_month__48296_Acinetobacter_pittii__k141_17440	6117	41963	Acinetobacter	Acinetobacter pittii
B2_1_month	k141_17839_1_checkv_1-22529/44342	22529	B2_1_month__28116_Bacteroides_ovatus__k141_17839	1	22529	Bacteroides	Bacteroides ovatus
B2_1_month	k141_17898_phage55_243_13450_12_0.75	13208	B2_1_month__137838_Clostridium_neonatale__k141_17898	244	13451	Clostridium	Clostridium neonatale
B2_1_month	k141_1807	14288	B2_1_month__1280_Staphylococcus_aureus__k141_1807	1	14288	Staphylococcus	Staphylococcus aureus
B2_1_month	k141_1867	14789	B2_1_month__1597_Lacticaseibacillus_paracasei__k141_1867	1	14789	Lacticaseibacillus	Lacticaseibacillus paracasei
B2_1_month	k141_19974	24624	B2_1_month__1280_Staphylococcus_aureus__k141_19974	1	24624	Staphylococcus	Staphylococcus aureus
B2_1_month	k141_19992_1_checkv_94215-132363/138906	38149	B2_1_month__28116_Bacteroides_ovatus__k141_19992	94215	132363	Bacteroides	Bacteroides ovatus
B2_1_month	k141_20514_1_checkv_178285-208770/208770	30486	B2_1_month__573_Klebsiella_pneumoniae__k141_20514	178285	208770	Klebsiella	Klebsiella pneumoniae
B2_1_month	k141_21169	34114	B2_1_month__1328_Streptococcus_anginosus__k141_21169	1	34114	Streptococcus	Streptococcus anginosus
B2_1_month	k141_21438	17996	B2_1_month__37637_Corynebacterium_pseudodiphtheriticum__k141_21438	1	17996	Corynebacterium	Corynebacterium pseudodiphtheriticum
B2_1_month	k141_21526_phage554_51473_64616_20_0.68	13144	B2_1_month__1597_Lacticaseibacillus_paracasei__k141_21526	51474	64617	Lacticaseibacillus	Lacticaseibacillus paracasei
B2_1_month	k141_2153_phage635_240151_250735_14_0.54	10585	B2_1_month__131110_Schaalia_radingae__k141_2153	240152	250736	Schaalia	Schaalia radingae
B2_1_month	k141_21783_1_checkv_14665-40546/40546	25882	B2_1_month__395631_Phytobacter_diazotrophicus__k141_21783	14665	40546	Phytobacter	Phytobacter diazotrophicus
B2_1_month	k141_2236_1_checkv_1-36904/39527	36904	B2_1_month__395631_Phytobacter_diazotrophicus__k141_2236	1	36904	Phytobacter	Phytobacter diazotrophicus
B2_1_month	k141_22525_1_checkv_1-13488/17338	13488	B2_1_month__1280_Staphylococcus_aureus__k141_22525	1	13488	Staphylococcus	Staphylococcus aureus
B2_1_month	k141_23108_phage344_28193_50337_24_0.75	22145	B2_1_month__137838_Clostridium_neonatale__k141_23108	28194	50338	Clostridium	Clostridium neonatale
B2_1_month	k141_23108_phage345_51087_62576_10_0.66	11490	B2_1_month__137838_Clostridium_neonatale__k141_23108	51088	62577	Clostridium	Clostridium neonatale
B2_1_month	k141_2317_phage41_9033_19834_18_0.51	10802	B2_1_month__395631_Phytobacter_diazotrophicus__k141_2317	9034	19835	Phytobacter	Phytobacter diazotrophicus
B2_1_month	k141_23566_phage488_145293_174721_26_0.58	29429	B2_1_month__1502_Clostridium_perfringens__k141_23566	145294	174722	Clostridium	Clostridium perfringens
B2_1_month	k141_23732_phage565_121228_142732_15_0.51	21505	B2_1_month__1502_Clostridium_perfringens__k141_23732	121229	142733	Clostridium	Clostridium perfringens
B2_1_month	k141_23743_phage582_74533_87183_15_0.64	12651	B2_1_month__1465756_Peptoniphilus_grossensis__k141_23743	74534	87184	Peptoniphilus	Peptoniphilus grossensis
B2_1_month	k141_24383_1_checkv_115153-149794/149794	34642	B2_1_month__28035_Staphylococcus_lugdunensis__k141_24383	115153	149794	Staphylococcus	Staphylococcus lugdunensis
B2_1_month	k141_24747	18798	B2_1_month__28125_Prevotella_bivia__k141_24747	1	18798	Prevotella	Prevotella bivia
B2_1_month	k141_24832_phage260_1546_19282_18_0.77	17737	B2_1_month__820_Bacteroides_uniformis__k141_24832	1547	19283	Bacteroides	Bacteroides uniformis
B2_1_month	k141_2510	25012	B2_1_month__137838_Clostridium_neonatale__k141_2510	1	25012	Clostridium	Clostridium neonatale
B2_1_month	k141_26052_1_checkv_1-25396/29892	25396	B2_1_month__278064_uncultured_Dialister_sp.__k141_26052	1	25396	Dialister	uncultured Dialister sp.
B2_1_month	k141_26129	13988	B2_1_month__1351_Enterococcus_faecalis__k141_26129	1	13988	Enterococcus	Enterococcus faecalis
B2_1_month	k141_2619	13387	B2_1_month__37637_Corynebacterium_pseudodiphtheriticum__k141_2619	1	13387	Corynebacterium	Corynebacterium pseudodiphtheriticum
B2_1_month	k141_26394_1_checkv_5482-16272/47451	10791	B2_1_month__28035_Staphylococcus_lugdunensis__k141_26394	5482	16272	Staphylococcus	Staphylococcus lugdunensis
B2_1_month	k141_26884_1_checkv_1-35168/47942	35168	B2_1_month__48296_Acinetobacter_pittii__k141_26884	1	35168	Acinetobacter	Acinetobacter pittii
B2_1_month	k141_27269	15384	B2_1_month__37637_Corynebacterium_pseudodiphtheriticum__k141_27269	1	15384	Corynebacterium	Corynebacterium pseudodiphtheriticum
B2_1_month	k141_27766_phage567_68748_85940_25_0.59	17193	B2_1_month__1328_Streptococcus_anginosus__k141_27766	68749	85941	Streptococcus	Streptococcus anginosus
B2_1_month	k141_27957_1_checkv_73713-118622/309286	44910	B2_1_month__1328_Streptococcus_anginosus__k141_27957	73713	118622	Streptococcus	Streptococcus anginosus
B2_1_month	k141_28297_1_checkv_1-12734/17306	12734	B2_1_month__1280_Staphylococcus_aureus__k141_28297	1	12734	Staphylococcus	Staphylococcus aureus
B2_1_month	k141_28351_phage691_12388_26356_17_0.62	13969	B2_1_month__1502_Clostridium_perfringens__k141_28351	12389	26357	Clostridium	Clostridium perfringens
B2_1_month	k141_28536	11857	B2_1_month__48296_Acinetobacter_pittii__k141_28536	1	11857	Acinetobacter	Acinetobacter pittii
B2_1_month	k141_28887	21389	B2_1_month__28125_Prevotella_bivia__k141_28887	1	21389	Prevotella	Prevotella bivia
B2_1_month	k141_28894_1_checkv_1-10961/14162	10961	B2_1_month__1280_Staphylococcus_aureus__k141_28894	1	10961	Staphylococcus	Staphylococcus aureus
B2_1_month	k141_28925	44169	B2_1_month__37637_Corynebacterium_pseudodiphtheriticum__k141_28925	1	44169	Corynebacterium	Corynebacterium pseudodiphtheriticum
B2_1_month	k141_294_phage38_2_12931_17_0.69	12930	B2_1_month__137838_Clostridium_neonatale__k141_294	3	12932	Clostridium	Clostridium neonatale
B2_1_month	k141_29864	44234	B2_1_month__28125_Prevotella_bivia__k141_29864	1	44234	Prevotella	Prevotella bivia
B2_1_month	k141_3073_phage370_81313_126830_42_0.61	45518	B2_1_month__1502_Clostridium_perfringens__k141_3073	81314	126831	Clostridium	Clostridium perfringens
B2_1_month	k141_3073_phage373_188494_204293_11_0.59	15800	B2_1_month__1502_Clostridium_perfringens__k141_3073	188495	204294	Clostridium	Clostridium perfringens
B2_1_month	k141_31077_phage62_75405_97255_24_0.63	21851	B2_1_month__28116_Bacteroides_ovatus__k141_31077	75406	97256	Bacteroides	Bacteroides ovatus
B2_1_month	k141_31490	31182	B2_1_month__48296_Acinetobacter_pittii__k141_31490	1	31182	Acinetobacter	Acinetobacter pittii
B2_1_month	k141_31525	14388	B2_1_month__573_Klebsiella_pneumoniae__k141_31525	1	14388	Klebsiella	Klebsiella pneumoniae
B2_1_month	k141_3197_1_checkv_73846-108679/121090	34834	B2_1_month__1328_Streptococcus_anginosus__k141_3197	73846	108679	Streptococcus	Streptococcus anginosus
B2_1_month	k141_32099	20835	B2_1_month__37637_Corynebacterium_pseudodiphtheriticum__k141_32099	1	20835	Corynebacterium	Corynebacterium pseudodiphtheriticum
B2_1_month	k141_32220_phage469_3534_14504_11_0.68	10971	B2_1_month__48296_Acinetobacter_pittii__k141_32220	3535	14505	Acinetobacter	Acinetobacter pittii
B2_1_month	k141_32387	42464	B2_1_month__28125_Prevotella_bivia__k141_32387	1	42464	Prevotella	Prevotella bivia
B2_1_month	k141_33169_1_checkv_19029-33104/59996	14076	B2_1_month__1343_Streptococcus_vestibularis__k141_33169	19029	33104	Streptococcus	Streptococcus vestibularis
B2_1_month	k141_33738_phage148_36312_49619_22_0.55	13308	B2_1_month__1328_Streptococcus_anginosus__k141_33738	36313	49620	Streptococcus	Streptococcus anginosus
B2_1_month	k141_33810	22329	B2_1_month__1351_Enterococcus_faecalis__k141_33810	1	22329	Enterococcus	Enterococcus faecalis
B2_1_month	k141_34004_phage229_3_11242_13_0.71	11240	B2_1_month__1465756_Peptoniphilus_grossensis__k141_34004	4	11243	Peptoniphilus	Peptoniphilus grossensis
B2_1_month	k141_34446	19585	B2_1_month__68891_Streptococcus_peroris__k141_34446	1	19585	Streptococcus	Streptococcus peroris
B2_1_month	k141_35403	10546	B2_1_month__37637_Corynebacterium_pseudodiphtheriticum__k141_35403	1	10546	Corynebacterium	Corynebacterium pseudodiphtheriticum
B2_1_month	k141_35674	39711	B2_1_month__48296_Acinetobacter_pittii__k141_35674	1	39711	Acinetobacter	Acinetobacter pittii
B2_1_month	k141_36027	23375	B2_1_month__137838_Clostridium_neonatale__k141_36027	1	23375	Clostridium	Clostridium neonatale
B2_1_month	k141_36539_1_checkv_117661-145389/145389	27729	B2_1_month__1465756_Peptoniphilus_grossensis__k141_36539	117661	145389	Peptoniphilus	Peptoniphilus grossensis
B2_1_month	k141_36979	27981	B2_1_month__68891_Streptococcus_peroris__k141_36979	1	27981	Streptococcus	Streptococcus peroris
B2_1_month	k141_38025	29086	B2_1_month__1328_Streptococcus_anginosus__k141_38025	1	29086	Streptococcus	Streptococcus anginosus
B2_1_month	k141_38669_phage343_3_27364_31_0.77	27362	B2_1_month__137838_Clostridium_neonatale__k141_38669	4	27365	Clostridium	Clostridium neonatale
B2_1_month	k141_3868_1_checkv_674986-710898/710898	35913	B2_1_month__573_Klebsiella_pneumoniae__k141_3868	674986	710898	Klebsiella	Klebsiella pneumoniae
B2_1_month	k141_3974_1_checkv_49102-59671/59671	10570	B2_1_month__28125_Prevotella_bivia__k141_3974	49102	59671	Prevotella	Prevotella bivia
B2_1_month	k141_40103_1_checkv_22721-55847/110088	33127	B2_1_month__28125_Prevotella_bivia__k141_40103	22721	55847	Prevotella	Prevotella bivia
B2_1_month	k141_40384_1_checkv_34490-50846/50846	16357	B2_1_month__48296_Acinetobacter_pittii__k141_40384	34490	50846	Acinetobacter	Acinetobacter pittii
B2_1_month	k141_40483_phage164_2561_29471_22_0.69	26911	B2_1_month__371601_Bacteroides_xylanisolvens__k141_40483	2562	29472	Bacteroides	Bacteroides xylanisolvens
B2_1_month	k141_40593_1_checkv_49949-89428/119499	39480	B2_1_month__1384081_Veillonella_sp._DNF00869__k141_40593	49949	89428	Veillonella	Veillonella sp. DNF00869
B2_1_month	k141_40715	24813	B2_1_month__137838_Clostridium_neonatale__k141_40715	1	24813	Clostridium	Clostridium neonatale
B2_1_month	k141_41174_phage334_28137_54755_21_0.63	26619	B2_1_month__137838_Clostridium_neonatale__k141_41174	28138	54756	Clostridium	Clostridium neonatale
B2_1_month	k141_41930	58279	B2_1_month__1343_Streptococcus_vestibularis__k141_41930	1	58279	Streptococcus	Streptococcus vestibularis
B2_1_month	k141_42010_phage65_159671_181937_25_0.59	22267	B2_1_month__1260_Finegoldia_magna__k141_42010	159672	181938	Finegoldia	Finegoldia magna
B2_1_month	k141_42010_phage66_195804_210818_12_0.68	15015	B2_1_month__1260_Finegoldia_magna__k141_42010	195805	210819	Finegoldia	Finegoldia magna
B2_1_month	k141_42341_phage146_40_17441_29_0.87	17401	B2_1_month__137838_Clostridium_neonatale__k141_42341	41	17441	Clostridium	Clostridium neonatale
B2_1_month	k141_42445_phage183_3_17471_24_0.8	17469	B2_1_month__137838_Clostridium_neonatale__k141_42445	4	17472	Clostridium	Clostridium neonatale
B2_1_month	k141_42634_phage402_1_36621_29_0.55	36621	B2_1_month__1502_Clostridium_perfringens__k141_42634	2	36622	Clostridium	Clostridium perfringens
B2_1_month	k141_42634_phage405_120232_143562_22_0.58	23331	B2_1_month__1502_Clostridium_perfringens__k141_42634	120233	143563	Clostridium	Clostridium perfringens
B2_1_month	k141_42634_phage414_368420_382660_12_0.66	14241	B2_1_month__1502_Clostridium_perfringens__k141_42634	368421	382661	Clostridium	Clostridium perfringens
B2_1_month	k141_42634_phage421_616523_633106_15_0.63	16584	B2_1_month__1502_Clostridium_perfringens__k141_42634	616524	633107	Clostridium	Clostridium perfringens
B2_1_month	k141_42634_phage424_702488_733836_26_0.64	31349	B2_1_month__1502_Clostridium_perfringens__k141_42634	702489	733837	Clostridium	Clostridium perfringens
B2_1_month	k141_43510_1_checkv_86590-128146/239539	41557	B2_1_month__1502_Clostridium_perfringens__k141_43510	86590	128146	Clostridium	Clostridium perfringens
B2_1_month	k141_43731	57410	B2_1_month__1384081_Veillonella_sp._DNF00869__k141_43731	1	57410	Veillonella	Veillonella sp. DNF00869
B2_1_month	k141_43995_phage726_19853_35269_20_0.69	15417	B2_1_month__137838_Clostridium_neonatale__k141_43995	19854	35270	Clostridium	Clostridium neonatale
B2_1_month	k141_4898_phage196_29222_40491_14_0.9	11270	B2_1_month__137838_Clostridium_neonatale__k141_4898	29223	40492	Clostridium	Clostridium neonatale
B2_1_month	k141_5649	72181	B2_1_month__28116_Bacteroides_ovatus__k141_5649	1	72181	Bacteroides	Bacteroides ovatus
B2_1_month	k141_5655	21937	B2_1_month__137838_Clostridium_neonatale__k141_5655	1	21937	Clostridium	Clostridium neonatale
B2_1_month	k141_6321	75448	B2_1_month__820_Bacteroides_uniformis__k141_6321	1	75448	Bacteroides	Bacteroides uniformis
B2_1_month	k141_6564_phage621_17240_28874_13_0.6	11635	B2_1_month__137838_Clostridium_neonatale__k141_6564	17241	28875	Clostridium	Clostridium neonatale
B2_1_month	k141_6965_1_checkv_65452-103315/130619	37864	B2_1_month__573_Klebsiella_pneumoniae__k141_6965	65452	103315	Klebsiella	Klebsiella pneumoniae
B2_1_month	k141_7460	27470	B2_1_month__395631_Phytobacter_diazotrophicus__k141_7460	1	27470	Phytobacter	Phytobacter diazotrophicus
B2_1_month	k141_7677	15543	B2_1_month__395631_Phytobacter_diazotrophicus__k141_7677	1	15543	Phytobacter	Phytobacter diazotrophicus
B2_1_month	k141_8398_phage549_4621_16142_22_0.75	11522	B2_1_month__137838_Clostridium_neonatale__k141_8398	4622	16143	Clostridium	Clostridium neonatale
B2_1_month	k141_8670_phage613_158595_172452_16_0.59	13858	B2_1_month__1260_Finegoldia_magna__k141_8670	158596	172453	Finegoldia	Finegoldia magna
B2_1_month	k141_9078	38871	B2_1_month__216816_Bifidobacterium_longum__k141_9078	1	38871	Bifidobacterium	Bifidobacterium longum
B2_1_month	k141_9096_phage105_72168_105070_32_0.56	32903	B2_1_month__1465756_Peptoniphilus_grossensis__k141_9096	72169	105071	Peptoniphilus	Peptoniphilus grossensis
B2_1_month	k141_9115_phage135_77211_106709_29_0.7	29499	B2_1_month__820_Bacteroides_uniformis__k141_9115	77212	106710	Bacteroides	Bacteroides uniformis
B2_1_month	k141_9320_phage228_23326_40045_17_0.63	16720	B2_1_month__137838_Clostridium_neonatale__k141_9320	23327	40046	Clostridium	Clostridium neonatale
B2_1_month	k141_9427_1_checkv_19663-55881/267338	36219	B2_1_month__48296_Acinetobacter_pittii__k141_9427	19663	55881	Acinetobacter	Acinetobacter pittii
B2_1_month	k141_9470_phage323_1_11935_14_0.59	11935	B2_1_month__278064_uncultured_Dialister_sp.__k141_9470	2	11936	Dialister	uncultured Dialister sp.
B2_1_month	k141_9851_phage451_135_10955_15_0.9	10820	B2_1_month__137838_Clostridium_neonatale__k141_9851	136	10955	Clostridium	Clostridium neonatale
